id,tenses.0,tenses.1,tenses.2,tenses.3,sentences.0,sentences.1
2097,salt,,,,Some doctors say that too much salt is bad for you but others don't agree.,
2098,salute,saluted,saluting,,She saluted her superior officer and then proceeded to march on.,
2099,salve,,,,You should use salve to treat that wound so it won't get any worse.,
2100,sample,,,,May I sample your appetizers to see if I like them?,
2101,sandwich,sandwiches,,,"Do you like liver sandwiches? No, I hate them.",
2102,sanitary,,,,"It was so sanitary, you felt like you were in a hospital.",
2103,santa,,,,Santa is coming town so you better be a good boy.,
2104,sardine,,,,Sardines are little fish. Sometimes I feel like a sardine.,
2105,sat,sit,sitting,,Grandma sat in her rocking chair every evening and watched the stars.,
2106,satisfaction,,,,"If I can sew this blouse to your satisfaction, could we then proceed to work on the skirt?",
2107,satisfactory,,,,"I'm sorry, but your work has not been satisfactory lately. You will need to try harder.",
2108,satisfy,satisfied,satisfying,,"I cannot seem to satisfy my boss, no matter what I do.",
2109,saturday,,,,I love Saturdays because it's the one day of the week that I don't work.,
2110,saucer,,,,Pearl has an antique cup and saucer collection that is very expensive.,
2111,sausage,,,,I never saw such a sausage. I bet you never saw such a sausage either.,
2112,savage,,,,When you rant like that you look like a savage who should be living in caveman days.,
2113,say,says,saying,said,We did not say we were going to take you to the beach with us.,
2114,scarce,,,,"When resources are scarce, people are undoubtedly living in poverty.",
2115,scatter,scattered,,,My great uncle wanted his ashes scattered to the wind out at sea. But of course we didn't carry out such nonsense.,
2116,scene,,,,I loved the scene in the play where Mr. Rollins finally gives Ms. Reynolds a kiss.,
2117,schedule,,,,How is your schedule this week? Will we have a chance to get together?,
2118,scheme,,,,She is always cooking up schemes but they don't ever seem to really work out.,
2119,scholar,,,,"I am not a scholar on this subject, but I have read a dozen or so books.",
2120,school,,,,When you were in school did the kids make fun of you too?,
2121,science,,,,I believe science is the only real pursuit of truth.,
2122,scientist,,,,My sister was a scientist in the field of electromagnetic scanning device usage.,
2123,scissors,,,,Please pass me the scissors; I have a string to cut.,
2124,scratch,,,,"If you scratch my back, I will scratch yours.",
2125,scream,screaming,screamed,,"All of a sudden, he screamed at the top of his lungs. I thought we were going to be thrown out of the restaurant.",
2126,screen,screening,screened,,Have your films ever made it to the big screen? Are you kidding?,
2127,sea,,,,The boat was lost at sea many years ago.,
2128,seal,sealed,sealing,,They sealed the agreement with a kiss.,
2129,seamstress,,,,The seamstress had her work down to a science so that sewing on each sleeve took barely 30 seconds.,
2130,search,searched,searching,,I have been searching for the truth but still haven't found it.,
2131,season,,,,It is the season to be jolly so don't pout and cry.,
2132,seat,seated,seating,,We would like to be seated at the front near the stage if possible.,
2133,secretary,,,,My secretary doesn't have to type much because I usually pass things to her via the computer already typed.,
2134,secure,secured,securing,,I would like to secure my possessions first before going on a hike.,
2135,sedative,,,,The doctor gave him a sedative to induce calmness before attempting to extract any information.,
2136,see,saw,seen,sees,Josh saw the candy in the store and immediately started crying for some.,
2137,seems,seeming,seemed,,It seems to me that you are prejudiced on that subject. Let's instead be objective.,
2138,seize,seizing,seized,,The government seized their land because they weren't paying their taxes.,
2139,seldom,,,,I seldom see Mr. Green in the market anymore. I wonder if he's okay.,
2140,select,selected,selecting,,I could select a nice hotel for you if you would agree to spend the night in our city.,
2141,sell,selling,sold,,I can't seem to sell vacuum cleaners but I sold shoes very well.,
2142,semester,,,,This semester in college I want to really study for a change.,
2143,senate,,,,The senate makes these kinds of decisions for the public but the president has veto power.,
2144,senator,,,,We first elected my senator so many years ago that I don't remember what his platform was.,
2145,send,sent,sending,,I want to send her flowers for Mother's Day but I don't have her address.,
2146,sense,,,,I cannot make sense of this report. Could you help?,
2147,sensible,,,,It sounds like a sensible plan but the proof will be in implementation.,
2148,sentences,,,,Write me three sentences that use this word.,
2149,separate,separated,,,"The three separate factors of production in economics are land, labor, and capital.",
2150,september,,,,I was born in September in the year of the pig.,
2151,sergeant,,,,My sergeant in the army was a mean fighting machine but we got along just fine.,
2152,series,,,,I am now going to show you a series of pictures and I want you to tell me what you see.,
2153,serious,,,,Can't you stop joking for one minute and be serious?,
2154,seriously,,,,Do you seriously think that I am going to go on a date with you? No way!,
2155,serpent,,,,The serpent is symbolic for many things in that religion.,
2156,servant,,,,He is a public servant so that means his paycheck comes from our taxes.,
2157,service,,,,My business mostly provides a service for other businesses but we also sell to a few individuals.,
2158,settle,,,,I will not settle for less than nine thousand dollars. Take it or leave it.,
2159,settlement,,,,The divorce settlement seemed fair to both parties.,
2160,seventeen,,,,At seventeen I was beautiful. Too bad I got older.,
2161,seventh,,,,My mother's birthday is on the seventh of December.,
2162,several,,,,Several of my friends have started snow skiing and go once a week or so.,
2163,severe,,,,I have a severe headache so am not able to concentrate like I should.,
2164,sewer,,,,Is your house hooked up to the public sewer or do you have a septic tank?,
2165,shallow,,,,I can only stay in the shallow water because I can't swim.,
2166,shape,,,,Is this an indication of the shape of things to come?,
2167,share,shared,sharing,,I want my fair share of the chocolate cake.,
2168,sharpen,,,,I would like to sharpen all my pencils before going to class. May I use your sharpener?,
2169,shawl,,,,Let me wrap this shawl around your shoulders to keep you from getting cold.,
2170,shears,,,,I have special pinking shears which make a zigzag cut.,
2171,shellack,shellacked,,,We will need to put three coats of shellack on the piece of art but each coat must be dry being putting on the next coat.,
2172,shelter,,,,One necessity for humans is shelter: we need a roof over our heads.,
2173,shepherd,,,,The shepherd rounded up his flock of sheep and guided it down the mountain.,
2174,sheriff,,,,I am going to call the sheriff in on this case because you deputies are not willing to take note of the evidence.,
2175,shield,shielded,shielding,,I am going to need some kind of umbrella to shield me from the sun.,
2176,shirt,,,,"Young man, you must put on a white dress shirt for this occasion.",
2177,shiver,shivering,shivered,,"My dear, you are shivering. Let me get you a blanket.",
2178,shoe,,,,I learned how to tie my shoes that way when I was very young.,
2179,should,,,,You should not have any troubles with the kids. Just put them to bed early.,
2180,shoulder,,,,Put your head on my shoulder and let me comfort you.,
2181,shovel,shoveled,shoveling,,I will have to shovel my way out of the house before I can get to my car.,
2182,show,shown,showing,,Have you shown my film to your family?,
2183,shrewd,,,,She is politically shrewd. I saw her refuse to answer a question in the most polite way possible.,
2184,shriek,shrieking,,,We then heard a loud shriek and knew we were in a haunted house.,
2185,side,,,,I am taking your side on this issue because you are right.,
2186,sigh,sighing,sighed,,He sighed with relief when he saw his mother was safe and sound.,
2187,sight,,,,I've got them in my sight. They are now entering the restaurant.,
2188,sign,signed,signing,,I want to sign a contract with the photocopier repair people so they will periodically come out to check the copier.,
2189,signal,signaled,signaling,,"Put on your left turn signal, come to a complete stop, look both ways for cars until the coast is clear, then make a left turn.",
2190,signature,,,,May I get your signature on this ballot amendment?,
2191,silence,,,,"May we please have silence? Silence, please!",
2192,silver,,,,Her hair turned silver about when she was turning 60.,
2193,similar,,,,Our dresses are similar except that yours has a bow.,
2194,simple,,,,"Let's make this simple. I will give you this, if you give me that.",
2195,since,,,,We have been friends since 1982.,
2196,sincere,sincerely,,,"I am sincere in my feelings about you, honey.",
2197,singe,singed,singeing,,You must be careful to not keep the curling iron on her hair too long because you don't want to singe the hair ends.,
2198,single,,,,"Are you single, married, divorced, or widowed?",
2199,sister,,,,I have one sister and three brothers.,
2200,sit,sat,sitting,,Sit here by the window so you can see the sights as we travel.,
2201,site,,,,We've discovered a great site where we can hold the picnic.,
2202,situated,,,,We are situated right next to the Cleaver Building.,
2203,situation,,,,What is the situation with your wife? Is she okay?,
2204,sixteenth,,,,He celebrated his sixteenth birthday last week so he's feeling like he's an adult.,
2205,sixth,,,,Chris is in the sixth grade but is reading at the eighth grade level.,
2206,size,,,,That room is such a nice size for our meetings.,
2207,skillful,skillfully,,,She is quite a skillful carpenter but has never built a piece of furniture that large.,
2208,skin,,,,The baby's skin had some kind of unexplained rash so we went to the doctor to get it checked out.,
2209,sky,,,,Come look! The sky is beautiful.,
2210,sleep,sleepless,sleeping,slept,I had a sleepless night but don't feel that bad right now.,
2211,slice,,,,May I serve you a slice of cherry pie?,
2212,slight,slightly,slighted,,You seem to have a slight limp. Did you hurt your leg?,
2213,slipper,,,,Cinderella lost her golden slipper so took the other one off and ran home bare-footed.,
2214,slippery,,,,Watch out! The sidewalk is slippery. We don't want you to fall.,
2215,smile,smiled,smiling,,You have a beautiful smile. May I take your picture?,
2216,smoke,,,,This is a smoke-free building so take your cigarette outside please.,
2217,smooth,smoothly,,,Her skin was as smooth as a baby's.,
2218,snatch,snatching,snatched,,I feel like running up and snatching that microphone out of his hand.,
2219,sneeze,sneezing,sneezed,,Just a minute! I think I'm going to sneeze.,
2220,snow,snowing,snowed,,The snow is so dirty. You can tell it isn't fresh.,
2221,soap,,,,Take some soap and water and clean your own coat.,
2222,sober,sobering,,,You couldn't say he was sober because he was acting drunk.,
2223,social,,,,I love these social gatherings. I wish we had them more often.,
2224,socialist,,,,"Did they have a socialist, communist, or capitalist government?",
2225,society,,,,Society is really just made up of individuals but people forget that sometimes.,
2226,soda,,,,May I offer you a soda? How about tea or coffee?,
2227,sofa,,,,May I lay down on your sofa and take a ten-minute nap?,
2228,soldier,,,,He was a great soldier but not a good leader.,
2229,solemn,,,,This is a solemn place so please take your hat off.,
2230,solitary,,,,The prisoner was put into solitary confinement for 3 days.,
2231,solitude,,,,I like the solitude of the mountains.,
2232,solve,solving,solved,,I can't seem to solve this math problem. Will you help?,
2233,some,,,,I would very much like some more potatoes please.,
2234,somebody,,,,Somebody told me that you weren't happy working here. Did I hear correctly?,
2235,something,,,,There is definitely something wrong with my grandfather but it's hard to tell exactly what.,
2236,sometimes,,,,Sometimes it gets to be very annoying to hear you speak.,
2237,somewhat,,,,"He is somewhat retired, meaning he doesn't have a regular job but he does work.",
2238,somewhere,,,,You want me to live somewhere in the middle of nowhere? I don't think so!,
2239,son,,,,My sons are very important to me but my daughter is much more like myself.,
2240,song,,,,If I sing you a song will you let me leave?,
2241,soprano,,,,She sings soprano in choir so is used to hitting the high notes.,
2242,sorrow,,,,"To my sorrow, Mr. Blakely died last year.",
2243,soul,,,,Oh my gosh! I don't know a single soul at this party.,
2244,sound,sounded,sounding,,It sounds like you don't like to use computers. But typewriters are so slow.,
2245,soup,,,,Let's have a quick soup and salad and run on to our meeting.,
2246,source,,,,What is the source of your information?,
2247,south,,,,I live south of Illinois but north of Mississippi.,
2248,southern,,,,If you look at the sky in a southern direction you can see that constellation.,
2249,sovereign,,,,Is that a sovereign state?,
2250,space,,,,"Things are traveling in space all the time, some from humans, some not.",
2251,spangle,,,,She was wearing some kind of dress with spangles and sequins.,
2252,spare,,,,Spare me the excuses. You're late because you want to be late.,
2253,sparkle,sparkled,,,"As soon as he realized that there were presents there for him, his eyes sparkled.",
2254,sparrow,,,,I saw a sparrow on the windowsill yesterday. Are they common around here?,
2255,speak,speaking,spoke,spoken,May we speak with you a moment?,
2256,speaker,,,,The speaker had excellent style but the topic was boring.,
2257,special,specially,,,I have a very special present for you. Come here.,
2258,specify. specified,,,,I need to specify the colors that I want the new kitchen to have.,
2259,spectacle,,,,You are making a spectacle of yourself. Don't be so obvious.,
2260,speech,,,,I wrote speeches for that president while he was in office.,
2261,spelling,,,,I need to know the spelling of that word so I can send in a perfect paper.,
2262,sphere,,,,An orange is a sphere while a plate is more like a plane.,
2263,spice,,,,What kind of spices have you been putting in this sort of dish?,
2264,spinach,,,,"Spinach supposedly makes you strong, but is that really true?",
2265,spinner,,,,I usually like using spinners when I fish but occasionally I'll use another kind of lure.,
2266,spirit,,,,"After you visit that old abandoned house, you'll believe in spirits. You may even, then, want to consume some spirits.",
2267,splendid,splendidly,,,What a splendid establishment you have here. How did you make all these renovations?,
2268,splendor,,,,"Even with all the splendor of the cathedral on 27th, we didn't want to get married there.",
2269,splinter,,,,You must have gotten a splinter from handling that wooden pole.,
2270,sponge,,,,"Hand me a sponge, will you? I want to clean up this mess.",
2271,spread,spreading,,,How long have they been spreading rumors about me?,
2272,spring,sprang,sprung,,"To make this toy work, you must install a spring right here. Then it will spring up quite high when this crank is turned.",
2273,sprinkle,,,,Let's sprinkle some little candies on top of the cupcakes.,
2274,square,,,,Put your chairs in the shape of a square with everybody facing out.,
2275,squash,,,,I love cooking squash -- all kinds of squash.,
2276,squirrel,,,,What a cute little squirrel. He's sitting and eating an acorn.,
2277,stable,,,,"I keep my horse in a stable down the road since I don't have the land to keep her, myself.",
2278,stage,,,,I would like for you to perform on stage. When will be your next show?,
2279,stagger,staggering,,,The difference in the looks of you two is staggering. How could you be related?,
2280,stake,,,,"To kill a vampire, they say you must drive a wooden stake through its heart.",
2281,stale,,,,This bread is stale. Get me a fresh loaf.,
2282,stalk,stalked,stalking,,He stalked me for weeks but I finally got the police to make him stop following me.,
2283,stamp,stamped,stamping,,I would like to buy a stamp with our company's name and address so I don't have to keep writing it by hand.,
2284,stand,stood,standing,,I am standing here waiting for you to finish.,
2285,standard,,,,There is the standard way to say it and about 20 dialectic ways of saying it.,
2286,star,,,,You are always a star to me even if you aren't a movie star.,
2287,starch,starched,,,I need my shirts starched so they'll look crisp and professional.,
2288,stare,staring,stared,,He could not stop staring at her.,
2289,start,started,starting,,We want to start our own business. Will you help?,
2290,stately,,,,She looked very stately in her new business suit.,
2291,statement,,,,The police officer took a statement from the witness.,
2292,statesman,,,,"He is some kind of statesman, one who is very high up in the political hierarchy.",
2293,station,,,,Would you mind taking me to the train station on your way into town?,
2294,stationary,,,,"If you stand stationary, the tiger may not notice you.",
2295,stationery,,,,I'm going to stop by a stationary store while I'm out. Do you need anything?,
2296,statute,,,,The statute of limitations just ran out so we will not be able to sue.,
2297,stay,stayed,staying,,May I stay with you while I'm visiting Cincinnati?,
2298,steady,,,,Steady the boat before attempting to put up the sail.,
2299,steak,,,,Let's go to a fancy restaurant and order steaks and champagne.,
2300,steal,stole,stealing,,Taking pens from your office is stealing. Don't you see that?,
2301,steam,,,,Steam can burn just like boiling water so be careful.,
2302,steel,,,,These rails are made of steel so won't easily be broken.,
2303,steeple,,,,Look for the steeple at the end of the road and walk towards it. I'll then see you.,
2304,steer,steering,,,Could you steer me in the right direction to get to 49th?,
2305,steerage,,,,He's staying in the steerage of the ship but I wanted a nicer room.,
2306,stenographer,,,,I am a stenographer so I'm in court all day every day typing people's words.,
2307,stern,,,,She had a very stern look on her face. I was scared of what she was going to say.,
2308,still,,,,"Be still, my child. We'll be there soon.",
2309,stir,stirred,stirring,,Stir in the melted butter and then take the pot off the hot burner.,
2310,stitch,,,,Let me stitch up that hole in your shirt for you.,
2311,stockings,,,,Put on your yellow stockings because they go so well with your new school dress.,
2312,stomach,,,,I feel sick in my stomach. I better go lie down.,
2313,stop,stopped,stopping,,Stop playing that saxophone. It's distracting.,
2314,store,stored,storing,,We better put our winter coats in storage so the moths won't get to them.,
2315,storm,,,,A terrible storm is coming this way. We better prepare.,
2316,stowaway,,,,The kid was a stowaway and snuck onto the boat when at harbor.,
2317,straight,,,,Is my dress hem straight in back?,
2318,strait,,,,The strait between the two lands was very narrow.,
2319,strange,,,,She looks pretty strange to me with that new hairdo. Don't you think so too?,
2320,strawberry,strawberries,,,I like the aroma of strawberries but I don't like to eat them.,
2321,stream,,,,She had a stream of tears coming down her cheeks.,
2322,street,,,,Your street has so many streetlights that I feel very safe coming to your house.,
2323,strength,,,,The cat doesn't have much strength because she's getting very old.,
2324,strengthen,,,,You should strengthen your leg muscles so you won't get so tired of walking.,
2325,stretch,stretched,stretching,,One must stretch all muscles well before doing any kind of exercise.,
2326,strict,strictly,,,"Strictly speaking, you are not formally part of this group.",
2327,strife,,,,My wife gives me a lot of strife and I don't know how to stop it. Get a life!,
2328,stripe,striped,,,She has blue stripes on her dress.,
2329,stroke,stroked,stroking,,Stroke the pig's belly and he'll fall over with pleasure.,
2330,strong,,,,"You may be very strong physically, but she is very strong mentally.",
2331,struggle,struggled,struggling,,These patients have been struggling against alcoholism for years.,
2332,stubborn,,,,My son is very stubborn when it comes to his sons.,
2333,student,,,,"Yes, I am a student at the university.",
2334,studio,,,,She has a studio apartment in Manhattan yet pays more than you do for three bedrooms.,
2335,study,studied,studying,,May we study in your study hall or is that only for your school's students?,
2336,stumble,stumbled,,,"By mistake, I stumbled across a file I had made on you years back and it contained some very interesting information.",
2337,stupid,,,,"I'm sorry, but if you continue to act stupid, I will continue to call you, 'stupid'.",
2338,style,,,,I like his style. It's fresh and energetic.,
2339,subdue,subdued,,,"First we need to subdue the patient, then we can administer the medicine.",
2340,subject,,,,Every sentence should have a subject and a predicate.,
2341,submit,submitted,submitting,,I will be submitting an article for your review next month.,
2342,substance,,,,Of what substance is that table made?,
2343,substitute,,,,There is no substitute for love.,
2344,subtle,subtly,,,Her answer was subtle but clearly understandable if you think about it.,
2345,subtract,subtracting,subtracted,,We must subtract this number from that number to produce the correct results.,
2346,succeed,succeeding,succeeded,,You will succeed in convincing people of your ideas if they are accurate and you speak well.,
2347,success,successful,,,Success is not dependent on your attendance but it sure would be nice.,
2348,sudden,suddenly,,,"All of a sudden, I realized that you wouldn't be there and I was going to have to defend our proposals alone.",
2349,suffer,suffered,suffering,,I am suffering from a lack of sleep.,
2350,sufficient,sufficiently,,,Does that department have sufficient resources to finish the contract?,
2351,sugar,,,,May I serve you cream or sugar with your coffee?,
2352,suggest,suggesting,suggested,,Mrs. Applethorpe suggested that we close the branch in Wilmington so that we can concentrate on the branches that are making more profits.,
2353,suggestion,,,,Your suggestion may be a good one but its timing is awful.,
2354,suit,,,,He will need to buy a few new business suits for the trip.,
2355,suitable,,,,Would this report have been suitable if they hadn't have employed so many people?,
2356,sullen,,,,She was in a sullen mood after I made fun of her skit.,
2357,sulphur,sulphuric,,,I suppose you could call this color sulphur but I'd prefer to say it's mustard.,
2358,summer,,,,What did you children do this past summer?,
2359,summon,summoned,summoning,,We sat around a circle and attempted to summon the demon who was haunting the house.,
2360,sun,,,,Would you say it's true that the sun will come up tomorrow?,
2361,Sunday,,,,Let's go for a Sunday brunch.,
2362,superintendent,,,,He is superintendent of the building so he should know when the place is locked up at night.,
2363,superior,,,,You act as if you are superior to me but I believe I am smarter than you.,
2364,supervisor,,,,"May I introduce you to my supervisor, Mr. Jones?",
2365,supper,,,,Let's get some supper at the diner down the road. Then we'll talk business.,
2366,supply,supplied,supplying,,My supply of suntan lotion is getting low so would you supply me with more?,
2367,support,supporting,supported,,"I supported your candidacy because I believed in the issues you believed, not because I like you.",
2368,suppose,supposed,supposing,supposedly,I suppose you can go with me but you must be on your best behavior.,
2369,supreme,,,,There is no doubt that that restaurant is supreme to the other one.,
2370,sure,surely,,,I am not sure whether I will be able to go or not. I'll have to tell you tomorrow.,
2371,surface,,,,The surface of the water is smooth but there's no telling what's going on underneath.,
2372,surgeon,,,,The surgeon will scrub and then go into surgery.,
2373,surprise,,,,I have a surprise for you. Close your eyes and count to ten.,
2374,surrender,surrendered,surrendering,,I have surrendered unto the king what is due the king.,
2375,surrogate,,,,I can be your surrogate mother while your real mother is on her trip.,
2376,surround,surrounded,surrounding,,We will surround the building with police and then infiltrate.,
2377,survey,surveyed,surveying,,The surveyor surveyed the new location for the house.,
2378,suspect,suspected,suspecting,,I suspect that you are not being totally honest with me.,
2379,suspenders,,,,My grandpa always wears suspenders to keep his pants up instead of a belt.,
2380,sustain,sustained,sustaining,,Will you be able to sustain this level of expertise if we add the new technology?,
2381,swallow,swallowing,swallowed,,"I am having trouble swallowing, doctor. Give me some medicine.",
2382,swamp,,,,The swamp was filled with alligators so I didn't want to wade out in the water.,
2383,swarm,swarming,,,The mosquitoes are swarming tonight.,
2384,swear,swore,swearing,,He swears that he never had heard before that we were going camping.,
2385,sweat,,,,Dogs sweat differently from humans. Pigs sweat like humans.,
2386,sweater,,,,That is a beautiful sweater but it doesn't keep you warm does it?,
2387,sweep,swept,sweeping,,I'll sweep the floor while you straighten up.,
2388,sweet,sweeten,,,That dessert is too sweet for me.,
2389,switchman,,,,I suppose switchmen are still needed on trains these days.,
2390,sword,,,,The Japanese sword is worth over $1000.,
2391,symbol,symbolic,,,We use symbols to represent concepts so that we can communicate faster.,
2392,symmetry,symmetric,,,There is a lot of symmetry in nature. Maybe that's why people like human-made symmetric constructs.,
2393,sympathy,sympathetic,,,I have little sympathy for someone who lies.,
2394,syrup,,,,May I get some maple syrup to put on my pancakes?,
2395,system,,,,This system is hard to understand but easy to use.,
2396,table,,,,Let's sit down at our table now and maybe others will follow suit.,
2397,tablet,,,,I usually make notes on a tablet but sometimes I use a plain piece of paper.,
2398,tail,,,,You can tell that a baby pig is a miniature breed if the tail is straight rather than curved.,
2399,tailor,,,,I will use the tailor you use to change the length of my coat.,
2400,take,taking,taken,took,I will be taking the third level of calculus next semester.,
2401,talent,,,,"What talent she has! She can sing, dance, play piano, and speak intelligently.",
2402,talk,talked,talking,,Let's talk this over before concluding that it's a sound proposal.,
2403,tannery,,,,He got a job in a tannery working with the animal hides.,
2404,tavern,,,,Let's get a couple beers in this English tavern.,
2405,teach,taught,teaching,,I love teaching younger children but not teenagers.,
2406,teacher,,,,She is a wonderful teacher but a terrible wife.,
2407,teamster,,,,I'm a teamster by trade and this is the truck I drive.,
2408,tear,tore,tearing,,He tore my shirt by mistake so I will need to go change clothes.,
2409,tease,teasing,teased,,Stop teasing me and telling jokes.,
2410,telegram,,,,We sent a telegram to the winner of the contest so that they would know the results immediately.,
2411,telegraph,,,,Do you know how to use a telegraph machine?,
2412,telephone,,,,Let me first make a telephone call and then we'll go to the movie.,
2413,tell,told,telling,,I cannot tell a lie; you are ugly.,
2414,teller,,,,The teller at the bank told me that I have an overdrawn balance.,
2415,temper,,,,Tempers raged when the news that the journalist had been killed was conveyed.,
2416,temperate,,,,His answers are usually temperate but occasionally he'll lose his temper.,
2417,temperature,,,,Temperatures have been unusually high this year.,
2418,tempest,,,,A tempest wind blew down all my newly installed poles.,
2419,temple,,,,This is the temple where we pray.,
2420,temporary,,,,This rain is only temporary so don't put the badminton set away just yet.,
2421,temptation,tempt,tempted,tempting,The temptation to eat chocolate is always with me but I fight to not give into it.,
2422,tenant,,,,Have you been a tenant in this apartment building long?,
2423,tenement,,,,She lived in a tenement building while growing up but finally took to the streets.,
2424,tenth,,,,This is my tenth year of playing the fiddle with this band.,
2425,terrible,terribly,,,The storm was terrible and the electricity was out but we lasted the night by keeping a fire going.,
2426,territory,,,,A dog marks his territory so that other dogs will keep out.,
2427,terror,,,,You could see terror in their eyes as the unsightly old gentleman came slowly down the stairs.,
2428,test,,,,"The is a test of the emergency broadcasting service. If this had been an actual emergency, you would have been instructed what next to do.",
2429,testimony,,,,My testimony is that I was nowhere near that school that day.,
2430,textile,,,,Does he work in the textile industry making garments?,
2431,Thanksgiving,,,,We celebrate Thanksgiving in November in our country but other countries do differently.,
2432,theater,,,,I love going to the theater but the tickets can be expensive.,
2433,their,,,,If their children don't stop acting up I'm going to spank them myself.,
2434,there,,,,There is going to be an intermission after the first act.,
2435,thereby,,,,"We will smile when she approaches, thereby giving her no cause to be upset.",
2436,therefore,,,,"They paid all our entrance fees, therefore I would like to now do them some kind of favor.",
2437,thermometer,,,,Please check the thermometer outside to see what the temperature is.,
2438,they,,,,"If you build it, they will come.",
2439,thicket,,,,I got lost in the thicket and couldn't find my way home.,
2440,thief,,,,Catch that man! He's a thief! He stole my jewels.,
2441,thigh,,,,I got a bruise on my thigh when I fell out of the tree.,
2442,thimble,,,,Put the thimble on your finger so you won't keep sticking it by mistake with the needle.,
2443,thing,,,,"How many things will you be taking on the trip, lots or a little?",
2444,think,thought,thinking,,I think I might take a nap if you have no plans for me just now.,
2445,thirst,,,,I cannot seem to quench my thirst after playing so much tennis.,
2446,thirsty,,,,You look thirsty. May I offer you a drink of water?,
2447,thirteen,,,,"How many are in a 'baker's dozen'? Thirteen, one more than a real dozen.",
2448,thirty,,,,I just turned thirty and already I have gray hair!,
2449,thorn,,,,The poor lion cub got a thorn stuck in its paw and was crying just like a baby.,
2450,thorough,thoroughly,,,He is quite thorough with his cleaning up around here. He never misses a dirty spot.,
2451,though,,,,"Though we've known each other for years, we don't really seem to know each other.",
2452,thousand,,,,You must have read a thousand books. How can you not know that Pluto has a moon?,
2453,thread,,,,"If you give me a needle and thread, I'll sew up the tear on your sleeve.",
2454,threat,threaten,threatened,,She threatened to disbar me if I didn't answer her questions.,
2455,thrice,,,,"I have gone there not once, not twice, but thrice.",
2456,throne,,,,The king and queen sat on their thrones as if they didn't have a care in the world. Maybe they didn't.,
2457,throng,,,,I couldn't break away from the throng of the concert -- just too many people.,
2458,through,,,,Give Patsy your handkerchief and I'll look through the window.,
2459,throughout,,,,"Throughout the entire seminar, they kept saying, 'We want reform!'",
2460,thumb,,,,Let me have a look at your thumb. Does it hurt if I do this?,
2461,thunder,,,,We could hear thunder but couldn't see any lightening.,
2462,Thursday,,,,This Thursday I will be out of town. Could you take care of my mother for me?,
2463,ticket,,,,That's the ticket that I've been looking for. Now we can both ride.,
2464,tide,,,,"The tides of the oceans are governed, amongst other things, by gravity.",
2465,tidy,,,,I like to keep my house tidy at all times just in case someone stops by.,
2466,tiger,,,,The zoo had three different kinds of tigers.,
2467,time,,,,What time is it? This time I want you to tell me the correct time.,
2468,timid,timidly,,,One of my daughters is very timid while the other is quite outgoing. How could that be?,
2469,tired,,,,"I am so tired of your pedantic monologs, I could scream.",
2470,title,,,,What is your official title? Do you go by Dr. or Mr.?,
2471,toast,,,,Don't burn the toast. That toaster is apt to do so.,
2472,tobacco,,,,The tobacco companies always seem to bounce back from troubles.,
2473,today,,,,Today is a very special day. We are going to visit an art museum that you never even knew existed.,
2474,together,,,,Together we will solve all of our problems -- if you believe it to be true.,
2475,toilet,,,,The toilet is pink so it matches the wallpaper in the bathroom.,
2476,token,,,,"As a small token of my appreciation for all that you've done, I would like to present you with this watch.",
2477,tomato,,,,Let's have a lettuce and tomato salad with plenty of cucumbers.,
2478,tomorrow,,,,Tomorrow is another day -- another day to try to solve the problem.,
2479,tongue,,,,My tongue is tied; I'm at a loss for words.,
2480,tonic,,,,"I'll sell you this tonic, which will make the disease go away, but first you must give me some information.",
2481,tonight,,,,Tonight I am going to take you to a very nice restaurant. Go get dressed.,
2482,tonsillitis,,,,The poor boy had tonsillitis so went in the hospital to have his tonsils removed.,
2483,too,,,,It is too hot. Please turn down the heat.,
2484,torment,,,,Don't torment me like this. Just tell me what actually happened.,
2485,torture,tortured,torturing,,The guards tortured the prisoners until they told them where the electronic equipment was buried.,
2486,total,,,,Your total cost is $14.52. Please pay at the window.,
2487,touch,touched,touching,,Don't touch my arm; it's bruised and hurts.,
2488,tough,,,,That is a tough math problem. I might need your help.,
2489,toward,towards,,,Move towards the light so that I can see you better.,
2490,towel,,,,"Hand me a towel to dry off the dog, would you?",
2491,town,,,,Let's go to town and grab a bite to eat.,
2492,trace,tracing,traced,,You can make a copy of the map if you put sheer paper over it and trace along the lines showing through.,
2493,tradition,,,,"In the long-standing tradition of our company, we would like to present you with a trophy for working 30 years here.",
2494,traffic,,,,Traffic was horrendous. I thought I'd never get home.,
2495,tragedy,,,,The tragedy is that the little girl will never see her mother again.,
2496,trailer,,,,Do you think this pickup truck can pull a trailer with two horses?,
2497,traitor,,,,Don't be a traitor. Be loyal to the party.,
2498,trample,trampled,,,My rose bushes got trampled by everyone at the party.,
2499,transfer,transferring,transferred,,"I would like to be transferred to a different department, one where my valuable skills will be put to use.",
2500,translate,translated,translating,,I need to hire someone to translate those reports before next week.,
2501,transportation,,,,What kind of transportation do you usually use to go to the monthly meetings?,
2502,travel,traveling,traveled,,May I travel with you to Paris?,
2503,traveler,,,,He's traveling selling his wares. He's never in a city more than a couple weeks.,
2504,tread,,,,"Do you know how to tread water yet, young man?",
2505,treason,,,,Mr. Barnsby is not the kind to commit treason against his country.,
2506,treasure,,,,We found a buried treasure chest but there were no treasures in it -- only shells.,
